         4718030 function calls in 6.528 seconds

   Ordered by: cumulative time
   List reduced from 132 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35040    0.014    0.000    0.033    0.000 daylight_kernels.py:140(calculate_outdoor_horizontal_illuminance_lux)
   594350    0.031    0.000    0.031    0.000 {built-in method builtins.abs}
    78840    0.020    0.000    0.030    0.000 daylight_kernels.py:108(_weather_ghi_w_m2)
     8760    0.022    0.000    0.030    0.000 timestep.py:132(copy_current_external_inputs)
   227760    0.028    0.000    0.028    0.000 {built-in method math.exp}
    43800    0.028    0.000    0.028    0.000 daylight_kernels.py:399(write_daylight_result_to_zone_state)
     8760    0.025    0.000    0.027    0.000 logger.py:624(write_dwelling_log)
    43800    0.016    0.000    0.026    0.000 airflow_kernels.py:125(airflow_ach_to_m3_s)
     8760    0.026    0.000    0.026    0.000 person_kernels.py:1052(reset_zone_occupancy_from_person_state)
    33365    0.025    0.000    0.025    0.000 execution_kernels.py:312(add_execution_gains_to_person)


