         4525310 function calls in 6.261 seconds

   Ordered by: cumulative time
   List reduced from 122 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    43800    0.029    0.000    0.029    0.000 daylight_kernels.py:399(write_daylight_result_to_zone_state)
     8760    0.020    0.000    0.029    0.000 timestep.py:132(copy_current_external_inputs)
   227760    0.029    0.000    0.029    0.000 {built-in method math.exp}
    43800    0.017    0.000    0.027    0.000 airflow_kernels.py:125(airflow_ach_to_m3_s)
    33365    0.027    0.000    0.027    0.000 execution_kernels.py:312(add_execution_gains_to_person)
   197100    0.024    0.000    0.024    0.000 daylight_kernels.py:70(_non_negative)
    33365    0.024    0.000    0.024    0.000 execution_kernels.py:58(get_action_row_from_action_id)
    87600    0.020    0.000    0.020    0.000 airflow_kernels.py:101(_zone_is_outside)
   163781    0.020    0.000    0.020    0.000 {built-in method math.tanh}
   175200    0.019    0.000    0.019    0.000 co2_kernels.py:64(_non_negative)
    86140    0.019    0.000    0.019    0.000 daylight_kernels.py:99(_zone_floor_area_m2)


