name,total_seconds,call_count,seconds_per_call,share_percent
array.total,4.550492800000029,1,4.550492800000029,100.0
array.timestep_loop,4.498678999999356,1,4.498678999999356,98.86135848845487
array.timestep_total,4.456338100005269,8760,0.0005087143949777704,97.93089003470658
array.compile,0.0511664000005112,1,0.0511664000005112,1.1244144810098562
array.allocate_logs,0.00042099999973288504,1,0.00042099999973288504,0.009251745211702836
array.decode_final_state,0.00012870000045950292,1,0.00012870000045950292,0.0028282651158024487
